,Date,Forecast
0,2023-10-12,1291479300.0
1,2023-10-13,1280386600.0
2,2023-10-14,1267675900.0
3,2023-10-15,1256602000.0
4,2023-10-16,1243695100.0
5,2023-10-17,1232835600.0
6,2023-10-18,1220381600.0
7,2023-10-19,1208778400.0
8,2023-10-20,1193556600.0
9,2023-10-21,1176169300.0
10,2023-10-22,1162290200.0
11,2023-10-23,1151166600.0
12,2023-10-24,1140251600.0
13,2023-10-25,1129680300.0
14,2023-10-26,1119401000.0
15,2023-10-27,1109449300.0
16,2023-10-28,1099746600.0
17,2023-10-29,1090331300.0
18,2023-10-30,1081172500.0
19,2023-10-31,1072382140.0
20,2023-11-01,1064028160.0
21,2023-11-02,1056006900.0
22,2023-11-03,1048239170.0
23,2023-11-04,1040720960.0
24,2023-11-05,1033442750.0
25,2023-11-06,1026395000.0
26,2023-11-07,1019568060.0
27,2023-11-08,1012956000.0
28,2023-11-09,1006551000.0
29,2023-11-10,1000346300.0
30,2023-11-11,994332350.0
31,2023-11-12,988497300.0
32,2023-11-13,982831500.0
33,2023-11-14,977328600.0
34,2023-11-15,971982200.0
35,2023-11-16,966785860.0
36,2023-11-17,961733760.0
37,2023-11-18,956820400.0
38,2023-11-19,952040400.0
39,2023-11-20,947388540.0
40,2023-11-21,942859200.0
41,2023-11-22,938448500.0
42,2023-11-23,934151360.0
43,2023-11-24,929963970.0
44,2023-11-25,925882430.0
